Region,Road_Area,Factory_Area,House_Area,Forest_Area,Farm_Area,Population,Year
옥천군,16942764.7,2911437.7,11367953.2,344334686.3,100846589.49999999,25801.0,2025
영동군,17584994.0,1417428.0,9890041.0,652670874.0,111645831.0,24132.0,2017
영동군,18345054.3,2031576.5,10021618.5,651382753.3,111162446.3,24370.0,2018
영동군,18353850.7,2035678.5,10071451.6,651363366.3,111101915.8,24509.0,2019
영동군,18376366.7,2060843.5,10098858.2,651299386.3,111053747.19999999,24414.0,2020
영동군,18629757.6,2071102.5,10248475.85,651277614.3499999,110663942.69999999,24104.0,2021
영동군,18883148.5,2081361.5,10398093.5,651255842.4,110274138.2,23794.0,2022
영동군,18928210.1,2092372.5,10516262.1,651307042.5,110113599.20000002,23722.0,2023
영동군,18942062.4,2095666.5,10594906.6,651274372.2,109955528.30000001,23715.0,2024
영동군,18988118.0,2097030.5,10664330.9,651350487.9,109736685.80000001,23568.0,2025
증평군,3821930.0,1906426.0,4301767.0,39975891.0,23274004.0,16694.0,2017
증평군,3853955.8,1910240.3,4341897.7,39933432.0,23192728.2,16854.0,2018
증평군,3853568.1,1913788.3,4349599.3,39925595.1,23170374.299999997,17283.0,2019
증평군,3865102.9,1913549.3,4366283.9,39902001.1,23143097.0,17697.0,2020
증평군,3953445.15,1943625.1,4450091.300000001,39803481.0,22981100.95,18140.0,2021
증평군,4041787.4,1973700.9,4533898.7,39704960.9,22819104.9,18583.0,2022
증평군,4074053.4,2001850.3,4569391.0,39669948.9,22738449.099999998,18944.0,2023
증평군,4087928.2,2110890.6,4614522.0,39655938.0,22541923.5,18961.0,2024
증평군,4090168.8,2123424.6,4635846.5,39641067.5,22478361.299999997,19119.0,2025
진천군,15532912.0,12257369.0,11011235.0,229389485.0,94791677.0,32898.0,2017
진천군,15620708.1,12523672.0,11212782.9,228826595.7,94621869.2,35276.0,2018
진천군,15664668.8,12695323.4,11301028.9,228513190.5,94477536.89999999,37213.0,2019
진천군,15676072.7,12767228.4,11332169.0,228425596.7,94437103.00000001,39594.0,2020
진천군,16180951.649999999,13694771.2,11598131.0,227204291.35,93335364.55000001,40996.0,2021
진천군,16685830.6,14622314.0,11864093.0,225982986.0,92233626.1,42398.0,2022
진천군,16791417.7,14754146.0,12058344.9,225509144.9,91890434.5,42751.0,2023
진천군,16835159.0,14771989.1,12232311.5,225346588.6,91725682.7,42976.0,2024
진천군,16877088.9,14846806.7,12387448.8,225244176.6,91523248.2,42985.0,2025
괴산군,20404058.0,3179572.0,12382855.0,622999108.0,136556644.0,20577.0,2017
괴산군,20434174.3,3245120.5,12618113.0,622675764.9,136407406.8,20899.0,2018
괴산군,20614627.7,3249822.5,12736267.8,622582143.9,136337515.1,21256.0,2019
괴산군,20619546.7,3249822.5,12802308.6,622565935.6,136073635.4,22145.0,2020
괴산군,20795916.9,3438727.25,13131379.25,621951654.75,135626961.10000002,21746.0,2021
괴산군,20972287.1,3627632.0,13460449.9,621337373.9,135180286.8,21347.0,2022
괴산군,21009667.8,3654076.0,13617788.5,621103658.3,134936496.4,21304.0,2023
괴산군,21151390.3,3828996.4,13970590.8,620381606.1,134699730.6,21400.0,2024
괴산군,21181141.3,3838482.4,14080666.9,620159799.6,134631798.7,21232.0,2025
음성군,23010743.0,20093514.0,15522290.0,270174307.0,144353212.0,45069.0,2017
음성군,23086320.1,20706211.9,15816140.0,269185679.1,144256805.79999998,45571.0,2018
음성군,23158174.3,21220083.8,16157286.1,268494797.5,143875031.79999998,46402.0,2019
음성군,23179000.3,21352819.8,16230236.1,268410502.5,143743147.8,46831.0,2020
음성군,23416066.65,22203045.5,16534235.100000001,267610782.45,142524183.4,47561.5,2021
음성군,23653133.0,23053271.2,16838234.1,266811062.4,141305219.0,48292.0,2022
음성군,23907102.0,24423259.1,17398667.1,265681963.9,139527071.0,48431.0,2023
음성군,23972907.7,24919818.0,17606978.7,264612018.3,138786524.2,49269.0,2024
음성군,23990033.7,25240613.2,17790947.7,262565513.2,138013614.9,50933.0,2025
단양군,14508534.0,2220228.0,6398287.0,641386145.0,74925200.0,14784.0,2017
단양군,14558307.5,2219796.5,6501735.1,641313474.4,74848415.5,15119.0,2018
단양군,14563336.7,2219667.5,6551912.1,640156813.9,74787423.8,15211.0,2019
단양군,14563798.7,2220664.5,6568966.1,640167203.9,74752862.8,15328.0,2020
단양군,14593972.2,2241123.0,6677557.5,640076701.5999999,74500419.8,15206.0,2021
단양군,14624145.7,2261581.5,6786148.9,639986199.3,74247976.8,15084.0,2022
단양군,14655750.8,2287311.5,6882150.1,640180811.3,73910031.1,15272.0,2023
단양군,14535241.3,2296639.5,7009090.9,640163621.4,73619378.7,15333.0,2024
단양군,14571941.4,2306385.4,7083518.7,640079070.9,73440641.3,15252.0,2025
