Region,Pop_CAGR,Factory_CAGR,Road_CAGR,House_CAGR,Forest_Loss_Pct,Corr_Factory_Pop,Corr_Road_Pop,Efficiency_Change_Pct,Startup_Factory_Area,Final_Factory_Area,Startup_Pop,Final_Pop
청주 상당구,3.160776045538327,2.436450987094063,0.7846141855814004,1.6420579495278975,-1.1244007998273868,0.9486552263872374,0.9524455878217333,12.18478974803171,791534.0,959634.3,69624.0,89305.0
청주 서원구,0.14057488450123223,2.6093289155466826,0.4329011189543319,1.2921017486186237,-1.8400130313983367,0.5858481519247558,0.4396702525139366,-10.637197494113051,2562610.0,3149033.6,88484.0,89484.0
청주 흥덕구,3.416858920578858,2.6044171956143947,1.6514504790666962,2.499457942506611,-4.59770588763025,0.9589997707209291,0.9331140576037855,7.0249963482769715,10545006.0,12953147.0,106959.0,139942.0
청주 청원구,1.4493365316519125,3.730668195499498,1.3236424572690586,1.5455235759590957,-4.721739770894411,0.8701729978851019,0.8825544506456626,-6.714294331367841,7019644.0,9409628.8,80933.0,90807.0
충주시,1.8576750964357736,2.0523146373241596,0.6421945203479718,1.2363432068245084,-0.8645057117307559,0.8402550492171597,0.9405487049615961,3.0807082663175613,10031765.0,11802125.4,90246.0,104563.0
제천시,0.8709021046678922,2.588676742859719,0.7426916404655648,1.572738556773734,-0.7358980765614161,0.9126084955421171,0.9847707649345377,-6.845172170768402,3546557.0,4351133.1,61949.0,66399.0
보은군,0.21950490733615435,1.7287000500745942,0.45162147958768273,1.0080143243724304,-0.2728706382683418,0.49228116477510064,0.4782339379523351,-7.044364972397643,1939768.0,2224834.7,16501.0,16793.0
옥천군,1.2880899074622976,1.8801598672949948,0.8350194937770672,1.3973483801805076,-0.5275701421738701,0.9457356596343277,0.9635498742576991,-1.612542011462478,2508364.0,2911437.7,23290.0,25801.0
영동군,-0.29517476086085015,5.017812416140144,0.9642124918903594,0.9466567255469682,-0.2023050441806637,-0.20543606181530183,-0.6675914020141136,-13.463801952670321,1417428.0,2097030.5,24132.0,23568.0
증평군,1.7098691295273305,1.35661814891328,0.8514885906148795,0.9392957765507193,-0.8375635705030314,0.8446552520510148,0.9711208324032329,5.188947192884094,1906426.0,2123424.6,16694.0,19119.0
진천군,3.3994977781982127,2.4246466135838585,1.0428487581179757,1.4829843335611992,-1.8071048025588472,0.9259411467953154,0.899419309444856,11.635483035628733,12257369.0,14846806.7,32898.0,42985.0
괴산군,0.3924622540860456,2.382059436404682,0.4683109368864402,1.619090742382845,-0.45574838928982486,0.13421879347769897,0.2876188609662632,-10.387460002097225,3179572.0,3838482.4,20577.0,21232.0
음성군,1.5407032499775708,2.8917374734422463,0.5223254850976522,1.71977977410247,-2.816253656569946,0.9591893881356673,0.939357447764967,-6.464388837715895,20093514.0,25240613.2,45069.0,50933.0
단양군,0.3903238758948602,0.47702972878336247,0.054525230918778256,1.2798771755418326,-0.20378895150596432,0.4421325528351743,0.3679000538221016,-5.309561492807943,2220228.0,2306385.4,14784.0,15252.0
