연도,지역명,임야면적,임야변화율,농경지면적,농경지변화율,대지면적,대지변화율,공장용지면적,공장용지변화율,비고
2023,청주 흥덕구,67129836,-1.36,56170323,-2.72,17332509,6.46,12280575,5.5,2020년 대비
2023,충주시,612084104,-0.32,155301850,-1.05,27366995,4.43,10776591,3.93,2020년 대비
2024,괴산군,620381606,-0.12,131804675,-0.17,13970590,2.59,3828996,4.79,2023년 대비
2024,단양군,640163621,-0.0,72545285,-0.4,7009090,1.84,2296639,0.41,2023년 대비
2024,보은군,398310147,-0.02,109318347,-0.04,9669152,0.7,2224834,0.09,2023년 대비
2024,영동군,651274372,-0.01,102377503,-0.21,10594906,0.75,2095666,0.16,2023년 대비
2024,옥천군,344772099,-0.05,97577904,-0.44,11111312,1.01,2900272,0.38,2023년 대비
2024,음성군,264612018,-0.4,130441611,-0.55,17606978,1.2,24919818,2.03,2023년 대비
2024,제천시,640819859,-0.03,106997226,-0.25,17151124,1.13,4373013,-0.1,2023년 대비
2024,증평군,39655938,-0.04,22203295,-0.91,4614522,0.99,2110890,5.45,2023년 대비
2024,진천군,225346588,-0.07,90066324,-0.18,12232311,1.44,14771989,0.12,2023년 대비
2024,청주 상당구,267231501,-0.2,65552993,-0.95,14669157,0.76,956865,3.6,2023년 대비
2024,청주 서원구,59280771,-0.16,26073372,-1.04,11590978,1.42,3075281,0.76,2023년 대비
2024,청주 청원구,72348979,-0.55,64420715,-1.04,14875710,3.28,8709809,2.68,2023년 대비
2024,청주 흥덕구,66979483,-0.22,55923192,-0.44,17517375,1.07,12348637,0.55,2023년 대비
2024,충주시,611780856,-0.05,154878109,-0.27,27633287,0.97,10936893,1.49,2023년 대비
2025,괴산군,620159799,-0.04,131753138,-0.04,14080666,0.79,3838482,0.25,2024년 대비
2025,단양군,640079070,-0.01,72379146,-0.23,7083518,1.06,2306385,0.42,2024년 대비
2025,보은군,398248707,-0.02,109209172,-0.1,9720004,0.53,2224834,0.0,2024년 대비
2025,영동군,651350487,0.01,102124251,-0.25,10664330,0.66,2097030,0.07,2024년 대비
2025,옥천군,344334686,-0.13,97311151,-0.27,11367953,2.31,2911437,0.38,2024년 대비
2025,음성군,262565513,-0.77,129671627,-0.59,17790947,1.04,25240613,1.29,2024년 대비
2025,제천시,640213625,-0.09,106671877,-0.3,17386194,1.37,4351133,-0.5,2024년 대비
2025,증평군,39641067,-0.04,22139700,-0.29,4635846,0.46,2123424,0.59,2024년 대비
2025,진천군,225244176,-0.05,89858502,-0.23,12387448,1.27,14846806,0.51,2024년 대비
2025,청주 상당구,267003437,-0.09,65380185,-0.26,14844498,1.2,959634,0.29,2024년 대비
2025,청주 서원구,59145779,-0.23,25931469,-0.54,11733302,1.23,3149033,2.4,2024년 대비
2025,청주 청원구,71666135,-0.94,63991868,-0.67,15133082,1.73,9409628,8.03,2024년 대비
2025,청주 흥덕구,66537054,-0.66,54764025,-2.07,18242335,4.14,12953147,4.9,2024년 대비
2025,충주시,610603457,-0.19,153846169,-0.67,28019805,1.4,11802125,7.91,2024년 대비
