토지소재명,전 면적,전 지번수,답 면적,답 지번수,과수원 면적,과수원 지번수,목장용지 면적,목장용지 지번수,임야 면적,임야 지번수,광천지 면적,광천지 지번수,대 면적,대 지번수,공장용지 면적,공장용지 지번수,학교용지 면적,학교용지 지번수,주차장 면적,주차장 지번수,주유소용지 면적,주유소용지 지번수,창고용지 면적,창고용지 지번수,도로 면적,도로 지번수,철도용지 면적,철도용지 지번수,제방 면적,제방 지번수,하천 면적,하천 지번수,구거 면적,구거 지번수,유지 면적,유지 지번수,양어장 면적,양어장 지번수,수도용지 면적,수도용지 지번수,공원 면적,공원 지번수,체육용지 면적,체육용지 지번수,유원지 면적,유원지 지번수,종교용지 면적,종교용지 지번수,사적지 면적,사적지 지번수,묘지 면적,묘지 지번수,잡종지 면적,잡종지 지번수
청주 상당구,31621164.1,26486,33931829.4,26955,683987.1,484,1494161,608,267231501.9,17817,7,1,14669157.4,30384,956865.3,400,3064171.1,484,167973.8,218,85917.3,106,380045,479,12634333.4,24235,13.2,1,558520.6,962,7542358.6,2844,7144699,4911,16156417.3,3095,42569.8,28,125925.4,167,863185.3,335,577726,51,178009,19,353137.2,350,42953.9,7,1287395.7,584,2475913.8,1128
청주 서원구,10991487.7,11295,15081885,12368,211973.7,124,300269.7,262,59280771.7,8896,0,0,11590978.6,22567,3075281.2,1329,1737834.5,176,117920.1,118,89854.5,105,785244.4,417,8311955.9,15715,572787,404,94919.8,256,3938166.8,1006,2880197.8,2708,144122.2,132,7179,7,791922.8,1432,686144.5,232,349409.3,74,23874,2,244872.5,188,0,0,328368.3,257,1043943.3,840
청주 흥덕구,19965480.9,18873,35957712,24076,771403.5,447,703261.5,451,66979483.1,10946,0,0,17517375.1,30041,12348637.8,2531,1843357.8,260,236175.6,175,122657,151,741079.1,860,14488950.5,20719,1670929.8,1997,1097259.6,994,11739532.4,2329,5953808.2,6168,878136.8,452,46358,64,355279.4,1156,2572502.5,730,180686.3,30,8931,4,180210.9,167,59449.5,17,417056.8,367,2266392.4,1239
청주 청원구,23936935.3,21968,40483780.3,22316,782146.1,465,1393207.9,625,72348979.5,12645,42,4,14875710.6,26751,8709809,3145,2139600.2,212,248538.7,281,122914.4,125,821561.1,556,15442139.4,21644,576713.8,685,986391,1316,10722282.4,3301,6639041,8398,1294775.2,833,12707,13,70132.7,22,2583960.2,325,1063721,188,70009,12,265908.2,163,2425,2,332892,357,9062972,1928
충주시,78192814.3,62683,76685295.4,58404,16042775.4,8822,3254719.4,1217,611780856.8,33535,3,1,27633287.7,54867,10936893.9,1864,2881596.2,355,370062.5,383,219947.2,240,1207486.3,1417,39355166.6,60208,1404169.2,1685,2115101.2,2772,37949683,8900,14411428.7,12041,32143600.8,4903,249791,150,535170.5,1377,1566022,453,4369027.9,272,546422.2,170,573382.7,571,39587.3,33,2591026.9,1253,16201759.2,8761
제천시,74654869.4,55283,32342356.7,26958,4084200.8,1665,3470803.5,763,640819859.9,31284,0,0,17151124.2,36002,4373013.4,768,2111475,264,501231.9,574,270275.4,236,1204337.9,1592,24357415.5,35894,2496083.4,2699,1012766.5,2069,21275749.7,6489,6507557.6,4412,35430772.1,5268,28235,31,139499.9,56,1036176,216,993049.5,95,648247.9,177,496752.2,366,8635.6,12,1996224.1,893,5351648.4,3056
보은군,51338392,40445,57979955.4,38792,2305021,1005,2011118.5,794,398310147.1,18540,0,0,9669152.2,19574,2224834.7,374,742035.2,176,61781,71,50592.8,71,473791.7,617,15991072.9,29011,0,0,1855387,2393,12473224,3419,11003263.7,7680,13080562.3,1615,43524,35,66654.1,42,248145.5,48,846477,53,130188.5,40,235093.8,209,187909,29,1458229.2,886,1511867.5,1233
옥천군,55056146,47124,42521758,37341,3541638.8,2029,1275574.7,727,344772099.2,22574,0,0,11111312.4,23181,2900272.7,1007,680506.1,204,172484.7,174,56669.4,74,789365.9,667,16721112.4,25928,1633164.5,2255,516348.1,889,14112273,3940,10254373.3,8072,26557131.9,2863,53410.9,36,50431.1,34,200194.8,136,195230.7,67,146851,44,246139.2,217,3697,8,1673463,1452,2158896.7,1740
영동군,50747929.8,52670,51629573.6,49824,7578024.9,4487,1941897.5,533,651274372.2,26346,0,0,10594906.6,25757,2095666.5,477,806572.8,178,110019.5,128,51067,81,847395.7,1156,18942062.4,38755,2663952,3046,713922.9,1283,24753175.4,9001,11861232.9,7824,1450050,806,28657,23,96986.1,115,440812.9,116,157398.7,28,291028.4,108,246977.1,258,30864,18,1634050.7,1124,5922725.1,3674
증평군,9387616.2,8435,12815678.9,8966,338628.4,180,296085.5,172,39655938,3903,0,0,4614522,8344,2110890.6,332,480187,43,55933.1,59,35885.5,45,199517,281,4087928.2,7919,409796.4,305,198861.1,261,2176079.7,911,2248492.1,2251,762644,228,7985,5,41010,62,438544.8,109,119098,25,11638,1,80181.1,76,0,0,141894.1,119,1086068.7,699
