연도,행정구역명,임야면적,임야면적_비율,농경지면적,농경지면적_비율,대지면적,대지면적_비율,공장용지면적,공장용지면적_비율,총면적
2024,단양군,640163621,88.66,72545285,10.05,7009090,0.97,2296639,0.32,722014637
2024,보은군,398310147,76.67,109318347,21.04,9669152,1.86,2224834,0.43,519522481
2024,영동군,651274372,84.98,102377503,13.36,10594906,1.38,2095666,0.27,766342448
2024,옥천군,344772099,75.55,97577904,21.38,11111312,2.43,2900272,0.64,456361588
2024,음성군,264612018,60.47,130441611,29.81,17606978,4.02,24919818,5.69,437580426
2024,제천시,640819859,83.29,106997226,13.91,17151124,2.23,4373013,0.57,769341223
2024,증평군,39655938,57.82,22203295,32.37,4614522,6.73,2110890,3.08,68584645
2024,진천군,225346588,65.81,90066324,26.3,12232311,3.57,14771989,4.31,342417214
2024,청주 상당구,267231501,76.7,65552993,18.81,14669157,4.21,956865,0.27,348410518
2024,청주 서원구,59280771,59.27,26073372,26.07,11590978,11.59,3075281,3.07,100020404
2024,청주 청원구,72348979,45.12,64420715,40.17,14875710,9.28,8709809,5.43,160355214
2024,청주 흥덕구,66979483,43.84,55923192,36.61,17517375,11.47,12348637,8.08,152768688
2024,충주시,611780856,75.98,154878109,19.23,27633287,3.43,10936893,1.36,805229148
2025,괴산군,620159799,80.56,131753138,17.11,14080666,1.83,3838482,0.5,769832087
2025,단양군,640079070,88.67,72379146,10.03,7083518,0.98,2306385,0.32,721848121
2025,보은군,398248707,76.67,109209172,21.03,9720004,1.87,2224834,0.43,519402719
2025,영동군,651350487,85.01,102124251,13.33,10664330,1.39,2097030,0.27,766236101
2025,옥천군,344334686,75.52,97311151,21.34,11367953,2.49,2911437,0.64,455925228
2025,음성군,262565513,60.32,129671627,29.79,17790947,4.09,25240613,5.8,435268701
2025,제천시,640213625,83.29,106671877,13.88,17386194,2.26,4351133,0.57,768622831
2025,증평군,39641067,57.84,22139700,32.3,4635846,6.76,2123424,3.1,68540039
2025,진천군,225244176,65.8,89858502,26.25,12387448,3.62,14846806,4.34,342336935
2025,청주 상당구,267003437,76.68,65380185,18.78,14844498,4.26,959634,0.28,348187756
2025,청주 서원구,59145779,59.17,25931469,25.94,11733302,11.74,3149033,3.15,99959585
2025,청주 청원구,71666135,44.74,63991868,39.94,15133082,9.45,9409628,5.87,160200714
2025,청주 흥덕구,66537054,43.63,54764025,35.91,18242335,11.96,12953147,8.49,152496562
2025,충주시,610603457,75.92,153846169,19.13,28019805,3.48,11802125,1.47,804271558
