연도,임야면적,농경지면적,대지면적,공장용지면적,총면적,임야면적_비율,농경지면적_비율,대지면적_비율,공장용지면적_비율,임야_전체비율,농경지_전체비율,대지_전체비율,공장용지_전체비율
2017,4938238808,1265337536,171370434,80019785,6454966563,69.91285714285713,23.93642857142857,4.130714285714285,2.0185714285714282,76.50293397809503,19.602542068195064,2.6548616840604384,1.239662269649467
2018,4929913767,1261308621,173811146,82713990,6447747543,69.83357142857143,23.884285714285713,4.197857142857143,2.085714285714286,76.45947261617219,19.562003825186057,2.6956878327021063,1.2828354312631003
2019,4925522964,1257643926,176586257,84628727,6444381894,69.77071428571428,23.8,4.276428571428571,2.1535714285714285,76.43127060154328,19.515353787008205,2.740158170396598,1.3132171307040794
2020,4924733706,1256378385,177184377,85027911,6443324397,69.76285714285714,23.77857142857143,4.292142857142857,2.1664285714285714,76.43156548648935,19.498915584398755,2.7498906788318265,1.319627970921173
2023,4906902353,1234984669,187694893,94217614,6423799547,69.63785714285714,23.405,4.569285714285714,2.3892857142857147,76.38629314471042,19.225143312212385,2.921867216228066,1.4666960466411327
2024,4902957838,1230180551,190246492,95549602,6418934503,69.62357142857142,23.302142857142858,4.6414285714285715,2.43,76.3827366630477,19.164871528523214,2.963832890195172,1.488558606655719
2025,4896792992,1225032280,193089928,98213711,6413128937,69.55857142857143,23.197142857142858,4.727142857142857,2.516428571428571,76.35575457945919,19.101943716307975,3.010853670600386,1.5314476282141216
