연도,행정구역명,군집,임야면적_비율,농경지면적_비율,대지면적_비율,공장용지면적_비율,임야면적_변화량,농경지면적_변화량,대지면적_변화량,공장용지면적_변화량
2020,제천시,농업/산림형,83.36,14.11,2.06,0.47,0.01999999999999602,-0.030000000000001137,0.010000000000000231,0.0
2020,증평군,균형형,57.83,33.07,6.33,2.77,0.0,-0.030000000000001137,0.03000000000000025,0.0
2020,진천군,도시/산업형,66.18,26.84,3.28,3.7,-0.01999999999999602,-0.010000000000001563,0.009999999999999787,0.020000000000000018
2020,청주 상당구,농업/산림형,76.55,19.4,3.81,0.24,-0.010000000000005116,0.0,0.010000000000000231,0.0
2020,청주 서원구,균형형,59.62,26.89,10.75,2.74,-0.020000000000003126,-0.07000000000000028,0.02999999999999936,0.06000000000000005
2020,청주 청원구,도시/산업형,45.69,41.11,8.42,4.79,-0.05000000000000426,-0.020000000000003126,0.02999999999999936,0.04999999999999982
2020,청주 흥덕구,도시/산업형,44.27,37.56,10.59,7.57,-0.02999999999999403,-0.030000000000001137,0.019999999999999574,0.020000000000000462
2020,충주시,농업/산림형,76.04,19.43,3.25,1.28,0.0,-0.019999999999999574,0.020000000000000018,0.0
2023,괴산군,농업/산림형,80.62,17.14,1.77,0.47,-0.03999999999999204,-0.120000000000001,0.1100000000000001,0.04999999999999999
2023,단양군,농업/산림형,88.64,10.09,0.95,0.32,0.04999999999999716,-0.09999999999999964,0.039999999999999925,0.010000000000000009
2023,보은군,농업/산림형,76.68,21.05,1.85,0.43,0.010000000000005116,-0.14000000000000057,0.09000000000000008,0.06
2023,영동군,농업/산림형,84.97,13.38,1.37,0.27,0.06999999999999318,-0.1399999999999988,0.050000000000000044,0.0
2023,옥천군,농업/산림형,75.51,21.45,2.41,0.63,0.020000000000010232,-0.23000000000000043,0.14000000000000012,0.06999999999999995
2023,음성군,도시/산업형,60.57,29.9,3.97,5.57,-0.259999999999998,-0.75,0.29000000000000004,0.7300000000000004
2023,제천시,농업/산림형,83.29,13.94,2.2,0.57,-0.06999999999999318,-0.16999999999999993,0.14000000000000012,0.09999999999999998
2023,증평군,균형형,57.79,32.64,6.66,2.92,-0.03999999999999915,-0.4299999999999997,0.33000000000000007,0.1499999999999999
2023,진천군,도시/산업형,65.83,26.34,3.52,4.31,-0.3500000000000085,-0.5,0.2400000000000002,0.6099999999999994
2023,청주 상당구,농업/산림형,76.63,18.94,4.17,0.26,0.0799999999999983,-0.4599999999999973,0.3599999999999999,0.020000000000000018
2023,청주 서원구,균형형,59.25,26.29,11.41,3.05,-0.36999999999999744,-0.6000000000000014,0.6600000000000001,0.3099999999999996
2023,청주 청원구,도시/산업형,45.26,40.5,8.96,5.28,-0.4299999999999997,-0.6099999999999994,0.5400000000000009,0.4900000000000002
2023,청주 흥덕구,도시/산업형,43.9,36.73,11.33,8.03,-0.37000000000000455,-0.8300000000000054,0.7400000000000002,0.4599999999999991
