변수,상관계수,p-value,유의성(p<0.05)
공장용지_변화율,0.47555855207393566,0.0856691847140069,비유의
대지_변화율,0.5281043660457844,0.052238419657707626,비유의
인구_변화율,0.5986387629456156,0.023706606550775527,유의
