,PC1_로딩,PC2_로딩
임야,1.0342854532464074,0.02531869864205302
농경지,-0.997063344337995,-0.158188550120776
대지,-0.9347087522037781,0.44693387580955807
공장용지,-0.9709404859861906,-0.24084096011099046
