변수,상관계수,p-value,유의성(p<0.05)
공장용지_변화율,-0.12195263601705614,0.6779089606311086,비유의
대지_변화율,0.6021198597359749,0.022698338836810848,유의
도로_변화율,0.5986387629456156,0.023706606550775527,유의
임야_변화율,-0.49363616401156085,0.0728304157255332,비유의
농경지_변화율,-0.6675202323573154,0.009095924432982742,유의
