행정구역명,2017,2018,2019,2020,2023,2024,2025
영동군,100.0,144.44444444444446,150.00000000000003,150.00000000000003,150.00000000000003,150.00000000000003,150.00000000000003
청주 청원구,100.0,108.12064965197217,109.97679814385152,111.13689095127613,122.50580046403714,125.9860788863109,136.19489559164734
음성군,100.0,103.0769230769231,105.71428571428572,106.37362637362638,122.41758241758242,125.05494505494508,127.47252747252746
청주 상당구,100.0,104.54545454545455,109.09090909090908,109.09090909090908,118.18181818181819,122.72727272727273,127.2727272727273
청주 흥덕구,100.0,101.76470588235293,111.02941176470588,111.32352941176471,118.08823529411765,118.82352941176471,124.8529411764706
제천시,100.0,100.0,102.17391304347825,102.17391304347825,123.91304347826085,123.91304347826085,123.91304347826085
청주 서원구,100.0,103.5294117647059,105.09803921568628,107.45098039215688,119.6078431372549,120.3921568627451,123.52941176470588
진천군,100.0,102.25352112676056,103.66197183098593,104.22535211267608,121.40845070422534,121.40845070422534,122.25352112676056
괴산군,100.0,102.4390243902439,102.4390243902439,102.4390243902439,114.6341463414634,121.95121951219512,121.95121951219512
충주시,100.0,103.2258064516129,103.2258064516129,103.2258064516129,108.06451612903227,109.67741935483872,118.5483870967742
옥천군,100.0,101.81818181818183,101.81818181818183,101.81818181818183,114.54545454545453,116.36363636363636,116.36363636363636
보은군,100.0,100.0,100.0,100.0,116.21621621621621,116.21621621621621,116.21621621621621
증평군,100.0,100.36231884057972,100.36231884057972,100.36231884057972,105.79710144927536,111.59420289855073,112.31884057971016
단양군,100.0,100.0,100.0,100.0,103.2258064516129,103.2258064516129,103.2258064516129
