연도,임야면적,농경지면적,대지면적,공장용지면적,총면적,임야_비율,농경지_비율,대지_비율,공장용지_비율,임야면적_전년대비변화,임야면적_전년대비변화율,농경지면적_전년대비변화,농경지면적_전년대비변화율,대지면적_전년대비변화,대지면적_전년대비변화율,공장용지면적_전년대비변화,공장용지면적_전년대비변화율,임야면적_2017대비변화율,농경지면적_2017대비변화율,대지면적_2017대비변화율,공장용지면적_2017대비변화율
2017,4938238808,1265337536,171370434,80019785,6454966563,76.50293397809503,19.602542068195064,2.6548616840604384,1.239662269649467,,,,,,,,,0.0,0.0,0.0,0.0
2018,4929913767,1261308621,173811146,82713990,6447747543,76.45947261617219,19.562003825186057,2.6956878327021063,1.2828354312631003,-8325041.0,-0.16858319987509418,-4028915.0,-0.31840634497702913,2440712.0,1.4242316734752514,2694205.0,3.366923567715152,-0.168583199875092,-0.31840634497702913,1.4242316734752507,3.3669235677151597
2019,4925522964,1257643926,176586257,84628727,6444381894,76.43127060154328,19.515353787008205,2.740158170396598,1.3132171307040794,-4390803.0,-0.08906449904644287,-3664695.0,-0.29054705081572596,2775111.0,1.5966243039442274,1914737.0,2.31488893233176,-0.2574975511390862,-0.6080282755478139,3.0435956064626644,5.759753041076029
2020,4924733706,1256378385,177184377,85027911,6443324397,76.43156548648935,19.498915584398755,2.7498906788318265,1.319627970921173,-789258.0,-0.01602384164622883,-1265541.0,-0.10062792606371218,598120.0,0.33871265531155714,399184.0,0.47168853195675986,-0.27348013178547764,-0.7080443553679577,3.3926173052698223,6.258609667596582
2023,4906902353,1234984669,187694893,94217614,6423799547,76.38629314471042,19.225143312212385,2.921867216228066,1.4666960466411327,-17831353.0,-0.36207750640964154,-21393716.0,-1.7028083462292343,10510516.0,5.9319654350789675,9189703.0,10.807866372255104,-0.634567428153426,-2.3987960632189766,9.5258316262419,17.742898209486565
2024,4902957838,1230180551,190246492,95549602,6418934503,76.3827366630477,19.164871528523214,2.963832890195172,1.488558606655719,-3944515.0,-0.08038706940211027,-4804118.0,-0.3890022378893243,2551599.0,1.3594397584381746,1331988.0,1.413735652443937,-0.7144443873966655,-2.778466930739973,11.01476932712909,19.40747153969484
2025,4896792992,1225032280,193089928,98213711,6413128937,76.35575457945919,19.101943716307975,3.010853670600386,1.5314476282141216,-6164846.0,-0.1257372835682946,-5148271.0,-0.4184971869222842,2843436.0,1.4946062711106434,2664109.0,2.788194764013774,-0.8392833479996418,-3.1853363117175397,12.674003031351372,22.736784409005846
